,Left,Right
0,"[0.3923413157463074, 0.41946834325790405, 4.3779698444268433e-07, 0.3776983320713043, 0.5344979166984558, -0.009279048070311546, 0.4036997854709625, 0.6147342920303345, -0.016191476956009865, 0.42413896322250366, 0.6757476329803467, -0.025333452969789505, 0.44681137800216675, 0.7334126830101013, -0.03612218424677849, 0.4802943468093872, 0.5933557748794556, -0.008894335478544235, 0.5211116671562195, 0.6649643778800964, -0.02751714363694191, 0.5497637391090393, 0.7113855481147766, -0.04200538247823715, 0.5745618939399719, 0.7481957674026489, -0.05265996605157852, 0.4937623143196106, 0.5650734901428223, -0.021109221503138542, 0.547636866569519, 0.646122932434082, -0.04175260290503502, 0.5870385766029358, 0.70488440990448, -0.05861075595021248, 0.6171433925628662, 0.7506455183029175, -0.06943558156490326, 0.4969440996646881, 0.5342090129852295, -0.03584907948970795, 0.5506911277770996, 0.6227805614471436, -0.05871017649769783, 0.5879522562026978, 0.6811051368713379, -0.07325529307126999, 0.6194995641708374, 0.7309014201164246, -0.08137106895446777, 0.4879034459590912, 0.504507839679718, -0.05131532996892929, 0.5295582413673401, 0.5837331414222717, -0.07337778061628342, 0.5609932541847229, 0.6424833536148071, -0.08460759371519089, 0.586880087852478, 0.6953977942466736, -0.09099562466144562]",[]
1,"[0.3632919192314148, 0.44422680139541626, 2.4110187268888694e-07, 0.36460748314857483, 0.5404158234596252, 0.0006755181821063161, 0.3940735161304474, 0.6126269102096558, -0.0036248783580958843, 0.41304242610931396, 0.6640931963920593, -0.011209601536393166, 0.43219006061553955, 0.7078068256378174, -0.02105298452079296, 0.4689860939979553, 0.5903154611587524, -0.013007949106395245, 0.5186660885810852, 0.6527488231658936, -0.0335286445915699, 0.5506566762924194, 0.6916734576225281, -0.04799990355968475, 0.5788059234619141, 0.7223021388053894, -0.05868963152170181, 0.47392794489860535, 0.5622085332870483, -0.02989145927131176, 0.5281956195831299, 0.6336971521377563, -0.053462035953998566, 0.5666126012802124, 0.6852760314941406, -0.07164382189512253, 0.6003494262695312, 0.7297183871269226, -0.08423365652561188, 0.46884965896606445, 0.525783896446228, -0.0471729151904583, 0.5168508887290955, 0.5993130803108215, -0.07157953828573227, 0.5439079403877258, 0.651790201663971, -0.08425401896238327, 0.5680106282234192, 0.6981520652770996, -0.091668501496315, 0.45341232419013977, 0.4878069758415222, -0.06392371654510498, 0.4938387870788574, 0.5354914665222168, -0.08702890574932098, 0.5156764388084412, 0.5801383852958679, -0.0955485999584198, 0.5308824181556702, 0.624398946762085, -0.10016769915819168]",[]
2,"[0.37158533930778503, 0.43645524978637695, 4.536044286851393e-07, 0.3708634078502655, 0.5173941254615784, -0.004330255091190338, 0.3885796368122101, 0.5760504603385925, -0.01768382079899311, 0.3991364538669586, 0.6235437393188477, -0.03305767476558685, 0.41818565130233765, 0.6663395166397095, -0.05112236365675926, 0.47256577014923096, 0.5730960369110107, -0.027354011312127113, 0.5215556621551514, 0.6384458541870117, -0.05423307418823242, 0.5552117228507996, 0.6907470226287842, -0.07455679029226303, 0.5825070142745972, 0.7388796210289001, -0.0887058675289154, 0.4753528833389282, 0.5559520721435547, -0.042930204421281815, 0.5317241549491882, 0.6241216659545898, -0.07013408839702606, 0.5712879300117493, 0.6817602515220642, -0.0923028215765953, 0.6048417091369629, 0.7328580021858215, -0.10853365808725357, 0.4694182872772217, 0.5290237069129944, -0.05806734040379524, 0.5231519937515259, 0.5927222371101379, -0.08157213777303696, 0.5578382611274719, 0.6408838629722595, -0.0956483706831932, 0.5880470275878906, 0.6823945045471191, -0.10578417032957077, 0.45482391119003296, 0.5003628730773926, -0.073126420378685, 0.49117568135261536, 0.5408869981765747, -0.09343038499355316, 0.5157756805419922, 0.5795971155166626, -0.10141853243112564, 0.5368461608886719, 0.61589115858078, -0.10699968039989471]",[]
3,"[0.4210455119609833, 0.2929781675338745, 3.9036703469719214e-07, 0.4085109531879425, 0.39792105555534363, -0.0016910567646846175, 0.42353689670562744, 0.4953818917274475, -0.009123632684350014, 0.4317781329154968, 0.5685516595840454, -0.018976768478751183, 0.4544641375541687, 0.6216767430305481, -0.03085271455347538, 0.5085163116455078, 0.4902399182319641, -0.021040676161646843, 0.5575699210166931, 0.5744967460632324, -0.04515126347541809, 0.5895671248435974, 0.647956371307373, -0.06221378967165947, 0.6114648580551147, 0.7095997929573059, -0.07396850734949112, 0.5118022561073303, 0.4779367446899414, -0.036835819482803345, 0.566935658454895, 0.575351893901825, -0.058590296655893326, 0.5987359285354614, 0.6629106998443604, -0.07724519819021225, 0.6200510859489441, 0.7389896512031555, -0.09065258502960205, 0.500277042388916, 0.4600963294506073, -0.05279175564646721, 0.5514381527900696, 0.5609158873558044, -0.07520172744989395, 0.5755670070648193, 0.6409302949905396, -0.0920332819223404, 0.5920981764793396, 0.7091682553291321, -0.10321127623319626, 0.4738512635231018, 0.4443374276161194, -0.06825197488069534, 0.5017128586769104, 0.5048840641975403, -0.09164166450500488, 0.5246936678886414, 0.5557506680488586, -0.10428903996944427, 0.5423111319541931, 0.6027726531028748, -0.11225714534521103]",[]
4,"[0.42549723386764526, 0.293855756521225, 4.3106183511554264e-07, 0.41892945766448975, 0.3955383002758026, 0.002745802281424403, 0.4322538375854492, 0.49365919828414917, -0.0031107342801988125, 0.436096727848053, 0.5718221068382263, -0.012142317369580269, 0.455781489610672, 0.62482088804245, -0.022990789264440536, 0.5191276669502258, 0.4932939410209656, -0.009534558281302452, 0.5683795213699341, 0.5758540034294128, -0.030731016770005226, 0.6021651029586792, 0.6465736627578735, -0.04624324291944504, 0.625592827796936, 0.708737850189209, -0.05688774958252907, 0.5181810259819031, 0.49222904443740845, -0.026330186054110527, 0.5730687975883484, 0.5844638347625732, -0.04464678838849068, 0.6038423776626587, 0.6674883365631104, -0.061577506363391876, 0.6238467693328857, 0.7406201362609863, -0.07396186143159866, 0.5062512755393982, 0.4816778898239136, -0.04344024881720543, 0.5601284503936768, 0.5735446214675903, -0.06403545290231705, 0.5843027830123901, 0.6502416729927063, -0.07889042794704437, 0.6017274856567383, 0.7163535952568054, -0.08865148574113846, 0.48278284072875977, 0.4692361354827881, -0.05981796607375145, 0.5153552889823914, 0.5248623490333557, -0.08152567595243454, 0.5390089154243469, 0.5712363719940186, -0.09263063967227936, 0.5583276748657227, 0.6137306094169617, -0.09947828203439713]",[]
5,[],"[0.44663065671920776, 0.27545231580734253, 5.367737685446627e-07, 0.46526968479156494, 0.3178151845932007, -0.0400267131626606, 0.49424615502357483, 0.40522199869155884, -0.048887014389038086, 0.5217335224151611, 0.48316240310668945, -0.0498422347009182, 0.544273853302002, 0.5435875058174133, -0.04991991072893143, 0.5311240553855896, 0.4372217357158661, -0.021232347935438156, 0.5663943290710449, 0.5343274474143982, -0.03413835167884827, 0.5944690108299255, 0.6053799390792847, -0.046990130096673965, 0.6142318248748779, 0.6611735820770264, -0.055113911628723145, 0.526839554309845, 0.4468258023262024, -0.0033813882619142532, 0.5639575123786926, 0.5407634973526001, -0.01349610835313797, 0.5937483310699463, 0.6082645654678345, -0.02736624702811241, 0.6180732846260071, 0.671614408493042, -0.03630376234650612, 0.5160130262374878, 0.4534049332141876, 0.01082251500338316, 0.5512547492980957, 0.539546549320221, 0.001525325234979391, 0.5794227123260498, 0.5952954888343811, -0.009028286673128605, 0.6008443832397461, 0.6507704854011536, -0.015399374067783356, 0.5005891919136047, 0.45462852716445923, 0.021544449031352997, 0.5285460352897644, 0.5184682011604309, 0.013519415631890297, 0.5488411784172058, 0.5591942667961121, 0.007979627698659897, 0.5645202398300171, 0.6011416912078857, 0.005332497414201498]"
6,[],"[0.4418596029281616, 0.21847406029701233, 4.126415547034412e-07, 0.45433443784713745, 0.28040117025375366, -0.024966862052679062, 0.47794151306152344, 0.36930450797080994, -0.0339316688477993, 0.49806997179985046, 0.44884002208709717, -0.03927968442440033, 0.5162912011146545, 0.5111462473869324, -0.04447058215737343, 0.513547420501709, 0.4004601240158081, -0.020869804546236992, 0.5436137914657593, 0.4938228726387024, -0.04077013581991196, 0.5662563443183899, 0.5625345706939697, -0.05617843568325043, 0.5827103853225708, 0.6191749572753906, -0.06602298468351364, 0.5151486396789551, 0.40780824422836304, -0.016070354729890823, 0.5448696613311768, 0.5109968185424805, -0.03454942628741264, 0.5674365758895874, 0.5880516767501831, -0.049837563186883926, 0.5856816172599792, 0.6605358719825745, -0.059281133115291595, 0.5066173076629639, 0.41002124547958374, -0.01406304631382227, 0.5375201106071472, 0.5045324563980103, -0.032745230942964554, 0.5606547594070435, 0.5690851211547852, -0.045156773179769516, 0.5793113708496094, 0.6302082538604736, -0.05178309604525566, 0.49098262190818787, 0.40759000182151794, -0.013998708687722683, 0.5145054459571838, 0.47179314494132996, -0.02971445582807064, 0.5304205417633057, 0.5158829092979431, -0.037197649478912354, 0.5433552861213684, 0.5592333674430847, -0.040809884667396545]"
7,"[0.4288841485977173, 0.4295335114002228, 2.2581582470593276e-07, 0.42751359939575195, 0.5483337640762329, 0.004941216669976711, 0.4533825218677521, 0.6289279460906982, 0.005468008108437061, 0.46922942996025085, 0.6895187497138977, 0.0020012177992612123, 0.4893578886985779, 0.7393720149993896, -0.003318305127322674, 0.5259793400764465, 0.581655740737915, 0.001105259987525642, 0.5632708668708801, 0.6639997959136963, -0.015180378220975399, 0.5939260125160217, 0.7161684632301331, -0.029676930978894234, 0.6208900213241577, 0.7558829188346863, -0.03965388983488083, 0.5322312116622925, 0.5669843554496765, -0.015119874849915504, 0.5878332257270813, 0.6444981098175049, -0.03219759836792946, 0.6314383149147034, 0.7022759318351746, -0.048910513520240784, 0.6692631244659424, 0.7483305931091309, -0.06030154228210449, 0.5263616442680359, 0.5550363659858704, -0.03161940351128578, 0.5835832357406616, 0.640218198299408, -0.04949989169836044, 0.6240397095680237, 0.7022151947021484, -0.062185484915971756, 0.6585531234741211, 0.7511546015739441, -0.0696108490228653, 0.5085942149162292, 0.5501352548599243, -0.04757519066333771, 0.550156831741333, 0.6289302706718445, -0.06353584676980972, 0.5783205032348633, 0.6894978284835815, -0.06964902579784393, 0.6005783081054688, 0.742245614528656, -0.07279883325099945]",[]
8,"[0.4216771125793457, 0.5042779445648193, 2.4927308572841866e-07, 0.4255930185317993, 0.5880778431892395, -0.007212160155177116, 0.45344722270965576, 0.6539823412895203, -0.011226562783122063, 0.4748910069465637, 0.7048736810684204, -0.016501814126968384, 0.4982907772064209, 0.7469709515571594, -0.021979516372084618, 0.5096328258514404, 0.6262125968933105, -0.006703791208565235, 0.5508654117584229, 0.689008891582489, -0.0232736486941576, 0.580266535282135, 0.7355682849884033, -0.03714735433459282, 0.6048973798751831, 0.7737708687782288, -0.046467896550893784, 0.5175364017486572, 0.612514853477478, -0.014520527794957161, 0.5721746683120728, 0.6685470342636108, -0.030950160697102547, 0.6118753552436829, 0.7166526913642883, -0.0445212796330452, 0.6451359391212463, 0.7561407685279846, -0.05320717766880989, 0.517861545085907, 0.602008044719696, -0.02392446994781494, 0.5702885985374451, 0.6635903716087341, -0.04085216671228409, 0.6073117256164551, 0.712820827960968, -0.04984648525714874, 0.638399064540863, 0.7523927688598633, -0.053958430886268616, 0.5100682377815247, 0.5990846157073975, -0.03411652520298958, 0.5486802458763123, 0.6600673198699951, -0.04924735426902771, 0.5769456624984741, 0.7073793411254883, -0.054068781435489655, 0.6005120277404785, 0.7477497458457947, -0.055651187896728516]",[]
9,"[0.4110800623893738, 0.4600866436958313, 3.103746450960898e-07, 0.4130612909793854, 0.5532264709472656, -0.004596950951963663, 0.4430333077907562, 0.6318981647491455, -0.006344884634017944, 0.462148517370224, 0.6975140571594238, -0.011021193116903305, 0.4860215187072754, 0.7458124756813049, -0.015783879905939102, 0.5166000723838806, 0.592981219291687, -0.0005172996898181736, 0.5673836469650269, 0.6711570024490356, -0.017558036372065544, 0.6111275553703308, 0.7268768548965454, -0.032758306711912155, 0.6488178968429565, 0.7691903114318848, -0.04380485787987709, 0.5239481329917908, 0.587043821811676, -0.01208613533526659, 0.5848140716552734, 0.6634455919265747, -0.029511708766222, 0.6320121884346008, 0.7189668416976929, -0.04669131338596344, 0.673456072807312, 0.7637380957603455, -0.05810365080833435, 0.5193180441856384, 0.5880504250526428, -0.02495935745537281, 0.5777952075004578, 0.6738465428352356, -0.04370495676994324, 0.6213717460632324, 0.7314286231994629, -0.05694645270705223, 0.6591513156890869, 0.7756473422050476, -0.06441840529441833, 0.5026870965957642, 0.5988824367523193, -0.03859429806470871, 0.5398622751235962, 0.6787899732589722, -0.05519307777285576, 0.5686474442481995, 0.7326139211654663, -0.061986133456230164, 0.5932082533836365, 0.7781829833984375, -0.0653097853064537]",[]
